	mass_A
t	x	y
9.320000e0	-5.069501e-2	5.759325e-3
9.360000e0	-6.073059e-2	6.605086e-3
9.400000e0	-6.865126e-2	8.333985e-3
9.440000e0	-7.478683e-2	1.006325e-2
9.480000e0	-7.961635e-2	1.180642e-2
9.520000e0	-7.961514e-2	1.178433e-2
9.560000e0	-8.225450e-2	1.270579e-2
9.600000e0	-8.356287e-2	1.271673e-2
9.640000e0	-8.267163e-2	1.225133e-2
9.680000e0	-7.919767e-2	1.137964e-2
9.720000e0	-7.439008e-2	9.599258e-3
9.760000e0	-7.438595e-2	9.563399e-3
9.800000e0	-6.781196e-2	7.899897e-3
9.840000e0	-5.944438e-2	6.978946e-3
9.880000e0	-4.978321e-2	5.283358e-3
9.920000e0	-3.881729e-2	3.543457e-3
9.960000e0	-2.699050e-2	2.609851e-3
1.000000e1	-2.699272e-2	2.601271e-3
1.004000e1	-1.469115e-2	8.748707e-4
1.008000e1	-1.987629e-3	-6.756516e-6
1.012000e1	1.030855e-2	1.508926e-6
1.016000e1	2.258863e-2	8.619473e-4
1.020000e1	3.443006e-2	1.689040e-3
1.024000e1	3.443201e-2	1.679769e-3
1.028000e1	4.496125e-2	1.820883e-3
1.032000e1	5.420311e-2	2.629009e-3
1.036000e1	6.249434e-2	3.467909e-3
1.040000e1	6.864676e-2	5.176152e-3
1.044000e1	7.434256e-2	5.244638e-3
1.048000e1	7.433241e-2	5.233454e-3
1.052000e1	7.738482e-2	6.068040e-3
1.056000e1	7.829596e-2	5.712466e-3
1.060000e1	7.696135e-2	5.671790e-3
1.064000e1	7.346084e-2	4.837933e-3
1.068000e1	6.820204e-2	3.960152e-3
1.072000e1	6.818874e-2	3.951273e-3
1.076000e1	6.159934e-2	3.045335e-3
1.080000e1	5.331519e-2	2.213496e-3
1.084000e1	4.366443e-2	2.175131e-3
1.088000e1	3.310175e-2	1.333338e-3
1.092000e1	2.127760e-2	4.515978e-4
1.096000e1	2.127607e-2	4.577124e-4
