	mass_A
t	x	y
8.000000e0	-5.720456e-2	8.135172e-3
8.040000e0	-5.859489e-2	8.145048e-3
8.080000e0	-5.939661e-2	8.141385e-3
8.120000e0	-5.901751e-2	8.430511e-3
8.160000e0	-5.723194e-2	7.853350e-3
8.200000e0	-5.472972e-2	7.675706e-3
8.240000e0	-5.108516e-2	6.865998e-3
8.280000e0	-4.671058e-2	6.798334e-3
8.320000e0	-4.144814e-2	5.945209e-3
8.360000e0	-3.572453e-2	5.054262e-3
8.400000e0	-3.006302e-2	3.383654e-3
8.440000e0	-2.344012e-2	3.295367e-3
8.480000e0	-1.688040e-2	2.592080e-3
8.520000e0	-9.845486e-3	2.412449e-3
8.560000e0	-2.417630e-3	1.630887e-3
8.600000e0	4.599977e-3	1.620341e-3
8.640000e0	1.121373e-2	1.583177e-3
8.680000e0	1.776560e-2	1.657122e-3
8.720000e0	2.348346e-2	1.699956e-3
8.760000e0	2.916127e-2	2.429148e-3
8.800000e0	3.356345e-2	2.453648e-3
8.840000e0	3.710960e-2	2.467928e-3
8.880000e0	4.010891e-2	2.492881e-3
8.920000e0	4.190396e-2	2.501282e-3
8.960000e0	4.277250e-2	2.483974e-3
9.000000e0	4.318326e-2	2.743443e-3
9.040000e0	4.226975e-2	2.736084e-3
9.080000e0	4.063139e-2	2.623675e-3
9.120000e0	3.745712e-2	2.095524e-3
9.160000e0	3.397820e-2	2.019243e-3
9.200000e0	2.958018e-2	2.006296e-3
9.240000e0	2.435366e-2	1.982517e-3
9.280000e0	1.863443e-2	1.984211e-3
9.320000e0	1.249182e-2	1.995445e-3
9.360000e0	5.928165e-3	1.116862e-3
9.400000e0	-1.107257e-3	2.000161e-3
9.440000e0	-8.077971e-3	2.044286e-3
9.480000e0	-1.469894e-2	2.136482e-3
9.520000e0	-2.123754e-2	2.874110e-3
9.560000e0	-2.781385e-2	2.932403e-3
9.600000e0	-3.352609e-2	3.749360e-3
9.640000e0	-3.881480e-2	4.624808e-3
9.680000e0	-4.362409e-2	5.550403e-3
9.720000e0	-4.798861e-2	6.428720e-3
9.760000e0	-5.114728e-2	7.254294e-3
9.800000e0	-5.372933e-2	7.271768e-3
9.840000e0	-5.510839e-2	7.285950e-3
9.880000e0	-5.586643e-2	7.316794e-3
9.920000e0	-5.557452e-2	7.596574e-3
9.960000e0	-5.427515e-2	7.601013e-3
1.000000e1	-5.195471e-2	6.911565e-3
1.004000e1	-4.884533e-2	6.811562e-3
1.008000e1	-4.493341e-2	5.985613e-3
1.012000e1	-4.052796e-2	5.076750e-3
1.016000e1	-3.530652e-2	4.209477e-3
1.020000e1	-3.000774e-2	3.369009e-3
1.024000e1	-2.388025e-2	3.266305e-3
1.028000e1	-1.777010e-2	2.549853e-3
1.032000e1	-1.118385e-2	2.367818e-3
1.036000e1	-4.604244e-3	2.390070e-3
1.040000e1	1.995676e-3	1.623473e-3
1.044000e1	8.551849e-3	1.602088e-3
1.048000e1	1.466475e-2	2.462451e-3
1.052000e1	2.040299e-2	2.494218e-3
1.056000e1	2.560695e-2	2.486314e-3
1.060000e1	3.000600e-2	2.495095e-3
1.064000e1	3.360633e-2	2.486468e-3
1.068000e1	3.657618e-2	2.493828e-3
1.072000e1	3.841333e-2	2.453596e-3
1.076000e1	3.964544e-2	2.485699e-3
1.080000e1	4.012718e-2	2.759890e-3
1.084000e1	3.934646e-2	2.654539e-3
1.088000e1	3.794398e-2	2.713817e-3
1.092000e1	3.566028e-2	2.778666e-3
1.096000e1	3.266484e-2	2.779234e-3
1.100000e1	2.788516e-2	2.011763e-3
1.104000e1	2.345168e-2	2.011537e-3
1.108000e1	1.819170e-2	2.008940e-3
1.112000e1	1.249066e-2	2.023262e-3
1.116000e1	6.368167e-3	2.017854e-3
1.120000e1	-2.021709e-4	2.007435e-3
1.124000e1	-6.382527e-3	2.137074e-3
1.128000e1	-1.292011e-2	2.095298e-3
1.132000e1	-1.903474e-2	2.809332e-3
1.136000e1	-2.480838e-2	2.951839e-3
1.140000e1	-3.005991e-2	3.728967e-3
1.144000e1	-3.490558e-2	4.609986e-3
1.148000e1	-3.965031e-2	5.497135e-3
1.152000e1	-4.366377e-2	6.402667e-3
1.156000e1	-4.715510e-2	6.454172e-3
1.160000e1	-4.970270e-2	7.226976e-3
1.164000e1	-5.147418e-2	7.250801e-3
1.168000e1	-5.201090e-2	7.276091e-3
1.172000e1	-5.196528e-2	7.275838e-3
1.176000e1	-5.100065e-2	6.979065e-3
1.180000e1	-4.929438e-2	6.797379e-3
1.184000e1	-4.668478e-2	6.760431e-3
1.188000e1	-4.316790e-2	5.955418e-3
1.192000e1	-3.887160e-2	5.118215e-3
1.196000e1	-3.441468e-2	4.225060e-3
1.200000e1	-2.957767e-2	3.385921e-3
1.204000e1	-2.388926e-2	3.326896e-3
1.208000e1	-1.856541e-2	2.623745e-3
1.212000e1	-1.247622e-2	2.403139e-3
1.216000e1	-6.340043e-3	1.680385e-3
1.220000e1	-2.056077e-4	1.623108e-3
1.224000e1	5.916527e-3	1.576823e-3
1.228000e1	1.161050e-2	1.601606e-3
1.232000e1	1.691471e-2	1.562777e-3
1.236000e1	2.174786e-2	1.607436e-3
1.240000e1	2.613470e-2	2.439903e-3
1.244000e1	2.999735e-2	2.461482e-3
1.248000e1	3.305593e-2	2.470047e-3
1.252000e1	3.490569e-2	2.436948e-3
1.256000e1	3.621049e-2	2.434405e-3
1.260000e1	3.704098e-2	2.788368e-3
1.264000e1	3.659001e-2	2.737331e-3
1.268000e1	3.535046e-2	2.637408e-3
1.272000e1	3.304854e-2	2.162779e-3
1.276000e1	3.013083e-2	2.077807e-3
1.280000e1	2.657591e-2	2.035094e-3
1.284000e1	2.252818e-2	2.047209e-3
1.288000e1	1.774714e-2	1.978911e-3
1.292000e1	1.249722e-2	1.995832e-3
1.296000e1	6.792831e-3	1.981238e-3
1.300000e1	1.081078e-3	2.010832e-3
1.304000e1	-4.974488e-3	2.042280e-3
1.308000e1	-1.077717e-2	2.158424e-3
1.312000e1	-1.645789e-2	2.802795e-3
1.316000e1	-2.210598e-2	2.865369e-3
1.320000e1	-2.694336e-2	3.689956e-3
1.324000e1	-3.219993e-2	3.743488e-3
1.328000e1	-3.621275e-2	4.668179e-3
1.332000e1	-4.008494e-2	5.507744e-3
1.336000e1	-4.359741e-2	6.367728e-3
1.340000e1	-4.624676e-2	6.443251e-3
1.344000e1	-4.798280e-2	6.444304e-3
1.348000e1	-4.886116e-2	6.434240e-3
1.352000e1	-4.885762e-2	6.800801e-3
1.356000e1	-4.798934e-2	6.717520e-3
1.360000e1	-4.592249e-2	6.074706e-3
1.364000e1	-4.324352e-2	5.949291e-3
1.368000e1	-4.007124e-2	5.088502e-3
1.372000e1	-3.621432e-2	4.239406e-3
1.376000e1	-3.175520e-2	4.145700e-3
1.380000e1	-2.697705e-2	3.404102e-3
1.384000e1	-2.172414e-2	3.297510e-3
1.388000e1	-1.686300e-2	2.564324e-3
1.392000e1	-1.120798e-2	2.405009e-3
1.396000e1	-5.914302e-3	2.369337e-3
1.400000e1	2.417898e-4	1.640557e-3
1.404000e1	5.887659e-3	1.611229e-3
1.408000e1	1.116920e-2	1.613922e-3
1.412000e1	1.600677e-2	1.665794e-3
1.416000e1	2.042516e-2	1.657974e-3
1.420000e1	2.474505e-2	2.428813e-3
1.424000e1	2.786133e-2	2.432968e-3
1.428000e1	3.051218e-2	2.423464e-3
1.432000e1	3.231099e-2	2.439639e-3
1.436000e1	3.352957e-2	2.427691e-3
1.440000e1	3.391994e-2	2.449394e-3
1.444000e1	3.316411e-2	2.114519e-3
1.448000e1	3.207976e-2	2.145134e-3
1.452000e1	3.008990e-2	2.060008e-3
1.456000e1	2.740990e-2	2.018572e-3
1.460000e1	2.388489e-2	2.002783e-3
1.464000e1	1.996568e-2	1.994850e-3
1.468000e1	1.557348e-2	1.982477e-3
1.472000e1	1.073313e-2	1.984471e-3
1.476000e1	5.457661e-3	1.988648e-3
1.480000e1	1.898543e-4	1.977472e-3
1.484000e1	-5.410594e-3	2.075806e-3
1.488000e1	-1.074626e-2	2.114048e-3
1.492000e1	-1.599790e-2	2.172258e-3
1.496000e1	-2.084773e-2	2.846184e-3
1.500000e1	-2.573839e-2	2.959916e-3
1.504000e1	-3.002276e-2	3.728434e-3
1.508000e1	-3.437871e-2	3.783780e-3
1.512000e1	-3.754950e-2	4.675581e-3
1.516000e1	-4.057931e-2	5.524857e-3
1.520000e1	-4.316752e-2	5.561527e-3
1.524000e1	-4.491570e-2	5.549577e-3
1.528000e1	-4.578748e-2	6.325903e-3
1.532000e1	-4.577559e-2	6.342722e-3
1.536000e1	-4.487871e-2	5.987579e-3
1.540000e1	-4.326075e-2	5.902250e-3
1.544000e1	-4.093334e-2	5.149001e-3
1.548000e1	-3.787489e-2	5.061645e-3
1.552000e1	-3.444936e-2	4.234880e-3
1.556000e1	-3.009947e-2	4.151099e-3
1.560000e1	-2.610316e-2	3.350048e-3
1.564000e1	-2.129179e-2	3.247417e-3
1.568000e1	-1.684763e-2	2.553513e-3
1.572000e1	-1.163455e-2	2.379056e-3
1.576000e1	-6.377024e-3	1.719021e-3
1.580000e1	-1.090332e-3	1.666532e-3
1.584000e1	4.136668e-3	1.592617e-3
1.588000e1	8.988104e-3	1.600576e-3
1.592000e1	1.375331e-2	1.618932e-3
1.596000e1	1.779313e-2	1.631506e-3
1.600000e1	2.162904e-2	1.641923e-3
1.604000e1	2.477632e-2	1.663447e-3
1.608000e1	2.732758e-2	1.690165e-3
1.612000e1	2.922855e-2	1.615549e-3
1.616000e1	3.044862e-2	1.615666e-3
1.620000e1	3.095438e-2	1.947058e-3
1.624000e1	3.083062e-2	1.983416e-3
1.628000e1	3.005173e-2	1.954134e-3
1.632000e1	2.829852e-2	1.979408e-3
1.636000e1	2.598951e-2	1.967632e-3
1.640000e1	2.304950e-2	1.947279e-3
1.644000e1	1.953645e-2	1.959522e-3
1.648000e1	1.556131e-2	1.957629e-3
1.652000e1	1.115814e-2	1.973780e-3
1.656000e1	6.374785e-3	1.971018e-3
1.660000e1	1.511475e-3	1.968374e-3
1.664000e1	-3.329993e-3	1.993076e-3
1.668000e1	-8.514988e-3	2.058387e-3
1.672000e1	-1.336419e-2	2.147319e-3
1.676000e1	-1.817459e-2	2.785419e-3
1.680000e1	-2.256311e-2	2.891313e-3
1.684000e1	-2.693661e-2	2.943975e-3
1.688000e1	-3.049163e-2	3.727289e-3
1.692000e1	-3.358523e-2	4.588455e-3
1.696000e1	-3.669395e-2	4.671044e-3
1.700000e1	-3.926748e-2	4.691790e-3
1.704000e1	-4.103565e-2	5.512098e-3
1.708000e1	-4.230646e-2	5.527874e-3
1.712000e1	-4.279696e-2	5.536627e-3
1.716000e1	-4.241216e-2	5.830110e-3
1.720000e1	-4.137760e-2	5.860437e-3
1.724000e1	-3.967348e-2	5.100322e-3
1.728000e1	-3.741028e-2	5.057721e-3
1.732000e1	-3.440503e-2	5.007755e-3
1.736000e1	-3.130929e-2	4.134288e-3
1.740000e1	-2.787917e-2	3.427663e-3
1.744000e1	-2.384836e-2	3.338649e-3
1.748000e1	-1.993778e-2	2.607734e-3
1.752000e1	-1.553391e-2	2.460791e-3
1.756000e1	-1.077767e-2	2.363744e-3
1.760000e1	-5.916222e-3	1.699040e-3
1.764000e1	-1.101904e-3	1.608790e-3
1.768000e1	3.712836e-3	1.586951e-3
1.772000e1	8.130281e-3	1.611529e-3
1.776000e1	1.246775e-2	1.614050e-3
1.780000e1	1.609762e-2	1.630650e-3
1.784000e1	1.949888e-2	1.647761e-3
1.788000e1	2.252420e-2	1.639105e-3
1.792000e1	2.476518e-2	1.630996e-3
1.796000e1	2.655536e-2	2.369219e-3
1.800000e1	2.780595e-2	2.385050e-3
1.804000e1	2.820480e-2	2.407536e-3
1.808000e1	2.779590e-2	2.086567e-3
1.812000e1	2.706848e-2	2.030661e-3
1.816000e1	2.546709e-2	2.055275e-3
1.820000e1	2.341501e-2	2.000311e-3
1.824000e1	2.078924e-2	1.992938e-3
1.828000e1	1.774140e-2	1.972473e-3
1.832000e1	1.388700e-2	1.968573e-3
1.836000e1	9.881703e-3	1.974679e-3
1.840000e1	5.514811e-3	1.967627e-3
1.844000e1	1.065946e-3	1.967336e-3
1.848000e1	-3.672842e-3	2.010841e-3
1.852000e1	-8.170289e-3	2.167431e-3
1.856000e1	-1.251520e-2	2.205501e-3
1.860000e1	-1.688191e-2	2.786590e-3
1.864000e1	-2.083857e-2	2.915648e-3
1.868000e1	-2.479856e-2	2.994494e-3
1.872000e1	-2.786064e-2	3.718428e-3
1.876000e1	-3.133316e-2	3.764240e-3
1.880000e1	-3.361549e-2	4.597270e-3
1.884000e1	-3.619444e-2	4.653280e-3
1.888000e1	-3.793574e-2	4.691463e-3
1.892000e1	-3.921802e-2	4.668468e-3
1.896000e1	-3.965028e-2	5.410224e-3
1.900000e1	-3.964623e-2	5.412706e-3
1.904000e1	-3.919287e-2	5.116364e-3
1.908000e1	-3.814131e-2	5.059353e-3
1.912000e1	-3.624423e-2	4.978424e-3
1.916000e1	-3.436511e-2	4.239385e-3
